fraction_removed,strategy,metric_type,value
0.0,Targeted,LCC,1.0
0.0,Targeted,Efficiency,0.069480256171783
0.05,Targeted,LCC,0.9774193548387097
0.05,Targeted,Efficiency,0.044563775657089945
0.1,Targeted,LCC,0.9341935483870968
0.1,Targeted,Efficiency,0.03067858209344547
0.15,Targeted,LCC,0.8612903225806452
0.15,Targeted,Efficiency,0.026131133910263133
0.2,Targeted,LCC,0.4232258064516129
0.2,Targeted,Efficiency,0.01737743381329634
0.25,Targeted,LCC,0.3935483870967742
0.25,Targeted,Efficiency,0.014323056482475878
0.3,Targeted,LCC,0.3870967741935484
0.3,Targeted,Efficiency,0.014442242471457617
0.35,Targeted,LCC,0.38129032258064516
0.35,Targeted,Efficiency,0.010301305476535365
0.4,Targeted,LCC,0.3696774193548387
0.4,Targeted,Efficiency,0.010858172149203472
0.45,Targeted,LCC,0.32387096774193547
0.45,Targeted,Efficiency,0.00912501920925307
0.5,Targeted,LCC,0.3116129032258064
0.5,Targeted,Efficiency,0.006379341434688725
0.55,Targeted,LCC,0.2864516129032258
0.55,Targeted,Efficiency,0.006581716478880706
0.6,Targeted,LCC,0.23741935483870968
0.6,Targeted,Efficiency,0.004143151805652382
0.65,Targeted,LCC,0.12193548387096774
0.65,Targeted,Efficiency,0.00323150951465819
0.7,Targeted,LCC,0.10064516129032258
0.7,Targeted,Efficiency,0.002615651791242684
0.75,Targeted,LCC,0.09548387096774194
0.75,Targeted,Efficiency,0.0019402961969957765
0.8,Targeted,LCC,0.07548387096774194
0.8,Targeted,Efficiency,0.001067244887314555
0.85,Targeted,LCC,0.06322580645161291
0.85,Targeted,Efficiency,0.0008146280990981539
0.9,Targeted,LCC,0.023225806451612905
0.9,Targeted,Efficiency,0.00027904647638509047
0.95,Targeted,LCC,0.00967741935483871
0.95,Targeted,Efficiency,7.95125161462826e-05
1.0,Targeted,LCC,0.003870967741935484
1.0,Targeted,Efficiency,4.828905923017995e-05
0.0,Random,LCC,1.0
0.0,Random,Efficiency,0.07119896040305156
0.05,Random,LCC,0.9988645161290323
0.05,Random,Efficiency,0.05931093295513014
0.1,Random,LCC,0.9957677419354839
0.1,Random,Efficiency,0.04615342678512532
0.15,Random,LCC,0.9906322580645162
0.15,Random,Efficiency,0.03110441473158511
0.2,Random,LCC,0.9790709677419355
0.2,Random,Efficiency,0.01919197759980005
0.25,Random,LCC,0.9539741935483871
0.25,Random,Efficiency,0.01351193585637394
0.3,Random,LCC,0.9053161290322581
0.3,Random,Efficiency,0.009811154336171518
0.35,Random,LCC,0.7775354838709677
0.35,Random,Efficiency,0.008033477935104132
0.4,Random,LCC,0.5384258064516129
0.4,Random,Efficiency,0.0065313692559069835
0.45,Random,LCC,0.28878709677419356
0.45,Random,Efficiency,0.005428895327205542
0.5,Random,LCC,0.1721677419354839
0.5,Random,Efficiency,0.004398520564747623
0.55,Random,LCC,0.10130322580645162
0.55,Random,Efficiency,0.0038714155618120804
0.6,Random,LCC,0.06336774193548388
0.6,Random,Efficiency,0.003261722533123413
0.65,Random,LCC,0.04016774193548387
0.65,Random,Efficiency,0.0027964685622641604
0.7,Random,LCC,0.02454193548387097
0.7,Random,Efficiency,0.002142635642016113
0.75,Random,LCC,0.015316129032258066
0.75,Random,Efficiency,0.0017657322864538724
0.8,Random,LCC,0.010761290322580646
0.8,Random,Efficiency,0.0014755174207162572
0.85,Random,LCC,0.007187096774193549
0.85,Random,Efficiency,0.0009515831775065589
0.9,Random,LCC,0.005083870967741936
0.9,Random,Efficiency,0.000606467869806598
0.95,Random,LCC,0.0031483870967741936
0.95,Random,Efficiency,0.00033331110143901656
1.0,Random,LCC,0.001406451612903226
1.0,Random,Efficiency,2.4301684301257677e-05
